baseline,baseline_penalization,alwayshint,alwayshint_penalization,ppo,ppo_penalization
2.1,-0.8999999999999999,1.5,-4.5,0.9540000000000001,-2.046
1.9760000000000002,0.4760000000000002,1.8,-3.2,1.2790000000000001,-1.162
1.3306666666666669,-0.1693333333333332,1.4833333333333334,-3.35,1.4256666666666666,-0.6806666666666666
1.12325,-0.37674999999999986,1.6975000000000002,-3.3025,1.6087500000000001,-2.7455
-0.6933999999999999,-1.8933999999999997,1.5980000000000003,-3.5020000000000002,1.3990000000000002,-1.7192
-1.9078333333333333,-2.907833333333333,1.7866666666666668,-3.3800000000000003,1.2518333333333336,-2.0133333333333336
-1.5534285714285712,-2.4105714285714286,0.3885714285714287,-5.325714285714286,1.4924285714285717,-1.465571428571429
-0.854625,-1.6671250000000002,0.7412500000000002,-4.88375,1.717875,-1.8545
-1.6474444444444445,-2.369666666666667,-0.22777777777777766,-6.727777777777778,1.689,-1.1924444444444446
-2.2767,-3.1267000000000005,-0.12299999999999989,-6.423,0.7231000000000001,-1.0692000000000002
-1.883181818181818,-2.928636363636364,-0.07727272727272717,-6.3500000000000005,-0.06990909090909084,-0.7424545454545456
-2.38875,-3.3887500000000004,0.1450000000000001,-6.146666666666667,0.1613333333333334,-0.52775
-2.8165384615384617,-3.893461538461539,0.166923076923077,-5.871538461538462,-0.46261538461538454,-0.5521538461538463
-2.435714285714286,-3.5428571428571436,0.3321428571428573,-5.596428571428571,-0.9974285714285713,-1.0791428571428572
-2.2706666666666666,-3.370666666666667,-0.2233333333333332,-6.456666666666666,-0.7225333333333332,-1.5325333333333333
-2.09375,-3.15625,-0.16062499999999996,-6.3168750000000005,-0.5283125000000002,-2.0923749999999997
-1.8734705882352942,-2.9322941176470585,-0.6176470588235294,-6.852941176470588,-0.43617647058823544,-1.8438823529411763
-1.5642777777777779,-2.647611111111111,-0.4494444444444444,-6.6161111111111115,-0.3215555555555557,-1.7091111111111108
-1.2393157894736841,-2.3972105263157895,-0.2889473684210526,-6.473157894736842,-0.30200000000000016,-1.5416842105263155
-1.0443500000000001,-2.26935,-0.22149999999999997,-6.471500000000001,-0.6849000000000002,-1.8635999999999995
-0.8022857142857143,-2.0641904761904764,-0.12857142857142856,-6.461904761904763,-0.6050476190476192,-1.7063809523809519
-1.129,-2.379,-0.4859090909090909,-7.395000000000001,-0.5078636363636365,-2.037454545454545
-1.4251304347826086,-2.6642608695652172,-0.39739130434782605,-7.245217391304348,-0.4623913043478262,-1.8645217391304345
-1.2205000000000001,-2.4705,-0.3024999999999999,-7.114999999999999,-0.773125,-2.1605833333333333
-1.4868800000000002,-2.72688,-0.6095999999999999,-7.2696,-0.6602799999999999,-2.39376
-1.7346923076923078,-2.927,-0.5407692307692307,-7.136923076923076,-0.5175,-2.3001538461538464
-1.9652592592592595,-3.187481481481482,-0.4529629629629629,-7.045555555555554,-0.7931481481481482,-2.562740740740741
-2.178642857142857,-3.357214285714286,-0.38999999999999996,-6.854285714285713,-1.0476785714285715,-2.505857142857143
-2.083068965517241,-3.238241379310345,-0.31827586206896546,-6.697586206896551,-1.285344827586207,-2.3406896551724135
-1.9443,-3.0943,-0.23266666666666663,-6.599333333333332,-1.1463333333333334,-2.5276666666666667
-1.7917419354838708,-2.9530322580645163,-0.2248387096774193,-6.515161290322579,-1.0426451612903227,-2.4770967741935483
-1.9848124999999999,-3.1098125,-0.2046874999999999,-6.4546875,-1.259125,-2.37859375
-1.875212121212121,-3.0418787878787876,-0.17545454545454536,-6.402727272727273,-1.092969696969697,-2.3659090909090907
-2.0538823529411765,-3.2450588235294116,-0.12676470588235286,-6.362058823529413,-1.2949411764705883,-2.2954411764705878
-1.9232,-3.1089142857142855,-0.35171428571428565,-6.537428571428572,-1.2427714285714286,-2.1754571428571428
-1.792,-2.958666666666667,-0.29972222222222217,-6.480277777777778,-1.1470833333333335,-2.4325277777777776
-1.7294054054054053,-2.8780540540540542,-0.5075675675675675,-6.737297297297298,-1.3298648648648648,-2.3576216216216217
-1.6825789473684212,-2.814157894736842,-0.41394736842105256,-6.637631578947369,-1.2263157894736842,-2.3025263157894735
-1.8427692307692307,-2.945333333333333,-0.39358974358974347,-6.624358974358975,-1.398974358974359,-2.2225641025641023
-1.757725,-2.870225,-0.3534999999999999,-6.553500000000001,-1.322225,-2.4405
-1.6371463414634144,-2.771292682926829,-0.33585365853658533,-6.543170731707318,-1.250121951219512,-2.5870731707317076
-1.5633571428571424,-2.718119047619047,-0.26119047619047614,-6.439761904761905,-1.2074047619047619,-2.5075000000000003
-1.52653488372093,-2.7009534883720927,-0.2369767441860465,-6.399767441860466,-1.138813953488372,-2.4603023255813956
-1.479363636363636,-2.6498181818181816,-0.18999999999999997,-6.360454545454547,-1.293840909090909,-2.3810681818181822
-1.622933333333333,-2.811822222222222,-0.36288888888888887,-6.518444444444445,-1.2310666666666668,-2.3008444444444445
-1.7604782608695648,-2.9235217391304342,-0.5289130434782608,-6.59413043478261,-1.1553478260869565,-2.229826086956522
-1.676042553191489,-2.8462553191489355,-0.6878723404255319,-6.87936170212766,-1.299063829787234,-2.1373829787234047
-1.569625,-2.746708333333333,-0.8402083333333333,-7.183958333333334,-1.2209583333333334,-2.1257083333333333
-1.7002448979591835,-2.8635102040816323,-0.7579591836734694,-7.074285714285715,-1.1449183673469387,-2.0399795918367345
-1.63222,-2.8022199999999997,-0.7190000000000001,-7.009000000000001,-1.04898,-2.00722
-1.6629399999999999,-2.7929399999999998,-0.6898000000000001,-6.989800000000002,-1.2270600000000003,-2.1347
-1.68878,-2.8487799999999996,-0.7167999999999999,-7.056800000000001,-1.23014,-2.0912599999999997
-1.61194,-2.7719399999999994,-0.8936,-7.213600000000001,-1.2534000000000003,-2.11782
-1.5891199999999999,-2.7391199999999998,-1.1004,-7.490400000000001,-1.2555200000000004,-2.13762
-1.4096800000000003,-2.5896799999999995,-1.0606000000000002,-7.440600000000001,-1.2249200000000002,-2.2237799999999996
-1.19628,-2.44628,-1.0912,-7.461200000000002,-1.3946399999999999,-2.1632999999999996
-1.14654,-2.40654,-1.0912,-7.3612,-1.3972400000000003,-2.18614
-1.38648,-2.6564799999999997,-1.108,-7.388,-1.62216,-2.0808400000000002
-1.20404,-2.48404,-0.9048000000000003,-6.9848,-1.65052,-2.1227199999999997
-1.2036400000000003,-2.44364,-0.8982000000000002,-6.998200000000001,-1.65052,-2.11208
-1.2244800000000002,-2.4344799999999998,-0.8818,-6.9618,-1.46608,-2.3613799999999996
-1.04452,-2.25452,-0.9018,-6.9518,-1.4777799999999999,-2.39198
-1.0437199999999998,-2.25372,-0.9030000000000001,-7.013000000000001,-1.2741799999999999,-2.36138
-1.0738999999999999,-2.3039,-0.9074000000000004,-7.0574,-1.08098,-2.2215800000000003
-1.0223,-2.2923,-0.9074000000000001,-7.0474,-1.0895,-2.04078
-1.1925,-2.4924999999999997,-0.8908000000000003,-7.0308,-1.2966,-2.0189800000000004
-1.38512,-2.73512,-0.8922000000000001,-6.9322,-1.26576,-1.9985200000000003
-1.39052,-2.73052,-0.9258000000000003,-6.995799999999999,-1.2529000000000001,-1.9941200000000001
-1.44466,-2.75466,-1.1378000000000001,-7.227799999999999,-1.19754,-2.0420599999999998
-1.4459599999999997,-2.72596,-1.1372000000000002,-7.217200000000002,-0.9981,-1.8085000000000002
-1.68574,-2.9257399999999993,-1.1716000000000002,-7.191600000000002,-1.17594,-1.7844200000000003
-1.6851399999999999,-2.9051399999999994,-1.0116,-6.7616000000000005,-1.1667599999999998,-1.6232200000000003
-1.46254,-2.6825399999999995,-0.9990000000000001,-6.779000000000001,-1.13896,-1.6138000000000003
-1.69166,-2.94166,-1.0286,-6.798600000000001,-0.9401199999999998,-1.44156
-1.5133,-2.8032999999999997,-1.029,-6.929000000000001,-1.13928,-1.32334
-1.33454,-2.63454,-1.011,-6.891000000000002,-1.18932,-1.3019000000000003
-1.3339400000000001,-2.59394,-1.025,-6.895000000000001,-1.18792,-1.1241
-1.33354,-2.6035399999999997,-1.0102,-6.910200000000001,-0.99524,-1.14802
-1.2885999999999997,-2.5985999999999994,-1.204,-7.194000000000001,-0.7864399999999998,-1.2282
-1.2767,-2.6066999999999996,-1.2342,-7.224200000000001,-0.7753599999999998,-1.13924
-1.31252,-2.6425199999999993,-1.2122,-7.2522,-0.7976800000000001,-1.12948
-1.08288,-2.46288,-1.2060000000000002,-7.285999999999999,-0.60588,-1.1621800000000002
-1.05792,-2.40792,-1.3812,-7.5912,-0.6338,-1.1197599999999999
-1.0577199999999998,-2.36772,-1.3781999999999999,-7.5582,-0.42210000000000003,-1.1292
-1.1075199999999998,-2.4375199999999997,-1.3772,-7.767199999999999,-0.3926800000000001,-1.14618
-1.1003200000000002,-2.4503199999999996,-1.3450000000000002,-7.724999999999999,-0.41768,-0.9365800000000002
-1.07692,-2.45692,-1.3437999999999999,-7.753800000000001,-0.19636000000000003,-0.95276
-1.02742,-2.4874199999999997,-1.396,-7.776,-0.40746000000000004,-0.9241399999999999
-0.7678599999999999,-2.2278599999999997,-1.3542,-7.6941999999999995,-0.19856000000000001,-0.95978
-0.7670599999999999,-2.25706,-1.5383999999999998,-7.958399999999999,-0.19018000000000004,-0.73002
-0.9899800000000001,-2.47998,-1.7055999999999998,-8.115600000000002,-0.38026000000000004,-0.53752
-0.97602,-2.4460200000000003,-1.7079999999999995,-8.138,-0.3330200000000001,-0.53862
-0.9172999999999999,-2.3672999999999997,-1.8836000000000002,-8.4536,-0.3011,-0.5068400000000001
-0.9171399999999998,-2.36714,-1.8683999999999998,-8.4384,-0.09250000000000004,-0.59944
-0.7232199999999999,-2.16322,-1.8677999999999997,-8.4778,-0.05902000000000001,-0.6641400000000001
-0.72222,-2.1822200000000005,-1.8675999999999997,-8.537600000000001,-0.09335999999999998,-0.67856
-0.7651799999999999,-2.20518,-1.8676,-8.5076,0.12424000000000002,-0.72902
-0.7768199999999998,-2.22682,-1.6663999999999999,-8.1364,0.12273999999999997,-0.6962600000000001
-0.5875999999999999,-2.0576000000000003,-1.6874,-8.1974,0.13092000000000004,-0.7223999999999999
-0.78082,-2.25082,-1.871,-8.421,-0.10111999999999992,-0.79216
-0.77282,-2.27282,-1.8895999999999997,-8.409600000000001,0.06798000000000005,-0.62152
-0.94282,-2.42282,-2.0646,-8.5746,0.09842000000000009,-0.6238399999999998
-1.1790599999999998,-2.64906,-2.0648,-8.7048,0.14630000000000007,-0.54582
-1.3704999999999998,-2.8405,-1.8974000000000002,-8.487400000000001,0.17768000000000003,-0.33246000000000003
-1.38994,-2.82994,-1.8978,-8.4878,0.19660000000000008,-0.26562
-1.3788999999999998,-2.808900000000001,-2.0818,-8.7118,0.38756,-0.22579999999999997
-1.4142799999999998,-2.9042800000000004,-1.8594,-8.519400000000001,0.37873999999999997,-0.39878
-1.1912800000000001,-2.6912800000000003,-2.0668,-8.8368,0.60226,-0.57194
-1.3725200000000002,-2.88252,-2.2704000000000004,-9.090399999999999,0.61244,-0.77134
-1.1793,-2.7193,-2.2508000000000004,-9.110800000000001,0.8273999999999999,-0.9415799999999999
-1.3588999999999998,-2.8689,-2.2312,-9.1312,0.81312,-0.9021799999999999
-1.36998,-2.90998,-2.423,-9.513,0.6117200000000002,-1.10726
-1.21098,-2.73098,-2.4052,-9.465200000000001,0.5989,-1.28036
-1.1726999999999999,-2.6627000000000005,-2.407,-9.467,0.61754,-1.24236
-1.17762,-2.60762,-2.2248,-9.2048,0.5930000000000001,-1.25244
-0.9786199999999998,-2.39862,-2.2060000000000004,-9.226,0.7536000000000002,-1.22364
-0.7663199999999999,-2.1463200000000002,-2.0208,-9.0708,0.7336800000000002,-1.3355599999999999
-0.8337600000000001,-2.19376,-2.0128,-9.052800000000001,0.7173400000000001,-1.3083599999999997
-1.03082,-2.37082,-2.0128000000000004,-9.0028,0.50198,-1.5986599999999997
-1.08232,-2.4423200000000005,-2.1944,-9.3444,0.48918,-1.84162
-0.89174,-2.3117400000000004,-2.1868,-9.3468,0.65846,-1.9409399999999999
-0.6647399999999999,-2.08474,-2.1648,-9.354800000000001,0.66862,-1.9998199999999997
-0.72714,-2.15714,-2.2006,-9.3606,0.47065999999999997,-2.0829599999999995
-0.7259399999999999,-2.11594,-2.1441999999999997,-9.2942,0.46312,-2.0944599999999993
-0.6884999999999999,-2.0485,-1.9391999999999998,-9.019200000000001,0.46232,-2.08588
-0.6604999999999999,-2.0204999999999997,-1.9560000000000002,-9.046,0.5000800000000001,-2.1121600000000003
-0.5009,-1.8909000000000002,-1.932,-9.012000000000002,0.49888,-2.1318799999999998
-0.2806599999999999,-1.71066,-2.1327999999999996,-9.222800000000001,0.5044,-2.1079600000000003
-0.3276,-1.7376000000000003,-1.9419999999999995,-8.972000000000001,0.50484,-2.09816
-0.35942,-1.76942,-2.1166,-9.2666,0.47357999999999995,-2.20672
-0.5383,-1.9483000000000001,-2.1247999999999996,-9.2848,0.48378,-2.1841
-0.76854,-2.12854,-2.1094,-9.249400000000001,0.49361999999999995,-2.20442
-0.7570999999999999,-2.1370999999999998,-1.9002000000000001,-8.8902,0.46546000000000004,-2.19214
-0.7573000000000001,-2.1372999999999998,-2.0928000000000004,-9.382800000000001,0.46356,-2.17642
-0.9170999999999999,-2.2571,-1.912,-9.032000000000002,0.4534,-2.20674
-1.1391,-2.4791,-1.9282,-9.048200000000001,0.48928000000000005,-2.1958399999999996
-1.1401599999999998,-2.4701599999999995,-1.9296000000000004,-9.1096,0.45494,-2.1905799999999997
-1.34926,-2.5992599999999997,-1.8942,-9.0442,0.6582400000000002,-2.23244
-1.39052,-2.6605199999999996,-1.9032000000000002,-9.063200000000002,0.67498,-2.2234
-1.5809,-2.800899999999999,-1.9032000000000002,-8.953200000000002,0.6598799999999998,-2.48296
-1.4210999999999998,-2.6810999999999994,-1.9032,-8.983200000000002,0.87304,-2.5563599999999997
-1.4031,-2.6631,-1.932,-8.982000000000001,0.8687199999999998,-2.6299599999999996
-1.6214199999999996,-2.90142,-1.7714,-8.681400000000002,0.8301599999999999,-2.7031599999999996
-1.54288,-2.84288,-1.7706,-8.620600000000001,0.7815599999999998,-2.79048
-1.5083200000000003,-2.8483199999999997,-1.6116,-8.4116,0.7445999999999999,-2.7289600000000003
-1.31452,-2.66452,-1.6117999999999997,-8.4318,0.7947399999999999,-2.7415799999999995
-1.2340199999999997,-2.5840199999999998,-1.6118000000000001,-8.401800000000001,0.7952199999999999,-2.91142
-1.44962,-2.77962,-1.5904000000000003,-8.390400000000001,0.5895199999999999,-2.93088
-1.6380400000000004,-2.9580400000000004,-1.5976000000000001,-8.4076,0.6029599999999999,-2.9598799999999996
-1.4464200000000003,-2.75642,-1.3978,-8.167800000000002,0.81856,-2.8944799999999993
-1.6237000000000001,-2.8937,-1.4380000000000002,-8.208,0.86606,-3.06592
-1.4641,-2.7441000000000004,-1.4378,-8.437800000000003,0.8653399999999999,-3.1092
-1.29486,-2.60486,-1.4376000000000002,-8.287600000000001,0.8542400000000001,-3.18478
-1.11566,-2.43566,-1.415,-8.255,0.84738,-3.1748399999999997
-1.2750599999999999,-2.59506,-1.4178,-8.277800000000001,0.8366600000000001,-3.2182399999999998
-1.4981,-2.7681,-1.2212,-8.071200000000003,0.8059000000000001,-3.2672599999999994
-1.4905,-2.7305,-1.443,-8.373,0.5996,-3.16676
-1.7132999999999998,-2.9633,-1.443,-8.293,0.55396,-3.0149199999999996
-1.5123,-2.7622999999999998,-1.4418,-8.3618,0.59198,-2.8538200000000002
-1.7061199999999999,-2.9261199999999996,-1.4232,-8.3132,0.58652,-2.6743600000000005
-1.5157000000000003,-2.7657,-1.4598000000000002,-8.3598,0.64128,-2.54436
-1.68418,-2.90418,-1.4598000000000002,-8.2498,0.8366800000000001,-2.38906
-1.62518,-2.8451800000000005,-1.462,-8.272,0.83882,-2.20698
-1.8429800000000003,-3.0429799999999996,-1.6652,-8.4152,0.8431000000000001,-2.2475400000000003
-1.85564,-3.0756399999999995,-1.8466,-8.6266,0.8761200000000001,-2.26846
-1.8211199999999999,-3.04112,-2.0576000000000003,-8.9576,0.90742,-2.0600600000000004
-2.0332199999999996,-3.23322,-2.075,-8.995,0.9199400000000001,-2.18924
-1.9809199999999998,-3.23092,-2.2576,-9.3276,0.9183600000000002,-2.2310800000000004
-1.9801199999999997,-3.25012,-2.2576,-9.457600000000001,1.1061800000000002,-1.9498600000000001
-1.94822,-3.1882199999999994,-2.2576,-9.4476,1.1223400000000003,-1.9398600000000001
-1.9115599999999997,-3.1015599999999997,-2.4244,-9.5944,1.16846,-1.88406
-1.93736,-3.18736,-2.4030000000000005,-9.573,1.17658,-1.9865800000000002
-1.9274799999999999,-3.1774800000000005,-2.3714000000000004,-9.5314,1.4131,-2.12026
-1.92828,-3.1582799999999995,-2.4114,-9.561399999999999,1.44908,-2.2616
-1.96436,-3.18436,-2.3992000000000004,-9.5192,1.65468,-2.2782
-2.17112,-3.40112,-2.3942000000000005,-9.554200000000002,1.6443199999999998,-2.27238
-2.13922,-3.3592199999999997,-2.6008000000000004,-9.900799999999998,1.85452,-2.2787400000000004
-2.36046,-3.5504599999999993,-2.4022,-9.712200000000001,1.8562800000000002,-2.28574
-2.5295199999999998,-3.71952,-2.3954000000000004,-9.7254,1.8798599999999999,-2.24864
-2.44588,-3.61588,-2.3956,-9.605599999999999,1.8785399999999999,-2.05964
-2.2249199999999996,-3.4449200000000006,-2.4090000000000003,-9.559000000000001,1.87522,-2.0749
-2.0542999999999996,-3.3042999999999996,-2.4093999999999998,-9.5594,1.8735400000000004,-2.0435399999999997
-2.0888799999999996,-3.338879999999999,-2.6186000000000003,-9.7386,1.8631000000000002,-2.0921199999999995
-1.8869599999999997,-3.17696,-2.6186000000000003,-9.4186,1.8625,-2.3011999999999997
-1.6656599999999997,-2.98566,-2.8004000000000002,-9.7404,1.8503,-2.39654
-1.4527599999999996,-2.77276,-2.8292,-9.7292,1.8123399999999998,-2.4191599999999998
-1.46506,-2.795059999999999,-2.8292,-9.5492,1.8154399999999997,-2.43506
-1.23738,-2.5973799999999994,-2.8288000000000006,-9.6188,1.80634,-2.4763
-1.2627,-2.6127,-2.8138,-9.6538,1.8217400000000001,-2.49592
-1.2630999999999997,-2.6131,-2.6294,-9.509400000000001,1.8386799999999999,-2.2324400000000004
-1.2634999999999998,-2.5634999999999994,-2.6296000000000004,-9.4596,1.80946,-2.2721400000000003
-1.3118599999999998,-2.6218600000000003,-2.8142,-9.654200000000001,1.8135800000000004,-2.1941
-1.3114599999999998,-2.5814599999999994,-2.9746000000000006,-9.7746,1.8502200000000002,-2.15312
-1.3107399999999998,-2.5807399999999996,-2.9666,-9.816600000000001,1.69002,-1.9999200000000001
-1.53882,-2.7388199999999996,-3.1268000000000002,-10.1768,1.6910000000000003,-2.06052
-1.53178,-2.731779999999999,-3.1266000000000003,-10.1166,1.6720800000000002,-2.13268
-1.77288,-2.9628799999999997,-2.9240000000000004,-9.814,1.7002800000000002,-2.0458000000000003
-1.6134799999999998,-2.8334799999999998,-3.1462,-9.9762,1.85948,-2.05688
-1.6136799999999996,-2.82368,-3.3418,-10.091800000000001,1.8471199999999999,-2.0654199999999996
-1.8051,-3.0251,-3.375,-10.185,1.79132,-2.0605200000000004
-1.60494,-2.84494,-3.5354,-10.3254,1.7722000000000007,-1.9106800000000004
-1.5732399999999997,-2.8332399999999995,-3.3752,-9.9552,1.7150800000000002,-2.04556
-1.4927599999999999,-2.7227599999999996,-3.1999999999999993,-9.840000000000002,1.6860199999999999,-2.2948800000000005
-1.6723599999999998,-2.8823599999999994,-3.3898,-10.139800000000001,1.6766599999999996,-2.52958
-1.6717600000000001,-2.9117599999999997,-3.405,-10.155,1.64522,-2.55838
-1.4476800000000003,-2.7176799999999997,-3.4282000000000004,-10.2082,1.65332,-2.5222800000000003
-1.45934,-2.71934,-3.246000000000001,-9.946,1.8581999999999996,-2.46402
-1.2995400000000001,-2.52954,-3.0296000000000007,-9.689600000000002,1.86944,-2.48578
-1.5007399999999997,-2.71074,-3.0307999999999997,-9.780800000000001,1.8210400000000002,-2.5261400000000003
-1.29898,-2.5589799999999996,-3.0916,-9.851600000000001,1.8600999999999999,-2.7856000000000005
-1.3102,-2.5801999999999996,-3.0403999999999995,-9.730400000000001,1.63618,-2.8052000000000006
-1.0926999999999998,-2.3627,-3.0404,-9.830400000000001,1.4409800000000001,-2.7639
-1.3121,-2.5620999999999996,-3.0329999999999995,-9.833000000000002,1.4775600000000002,-2.7838400000000005
-1.13142,-2.40142,-2.8227999999999995,-9.6328,1.46696,-2.9286200000000004
-1.32444,-2.57444,-2.6043999999999996,-9.394400000000001,1.4596799999999999,-2.9613400000000007
-1.5573599999999999,-2.78736,-2.4200000000000004,-9.05,1.26918,-3.0245000000000006
-1.5561599999999998,-2.81616,-2.3812,-9.0212,1.2529400000000002,-2.9493000000000005
-1.57574,-2.8057399999999997,-2.1790000000000003,-8.639,1.25354,-2.9664200000000007
-1.5761400000000003,-2.8161400000000003,-2.0108,-8.320799999999998,1.22532,-2.9370800000000004
-1.60784,-2.85784,-1.8050000000000004,-7.9449999999999985,1.24824,-2.7648400000000004
-1.61,-2.94,-1.6456000000000004,-7.805600000000001,1.2402399999999998,-2.77058
-1.61798,-2.91798,-1.6738000000000006,-7.803800000000001,1.201,-2.6137799999999998
-1.7884600000000004,-3.0784600000000006,-1.697,-7.827000000000001,1.16238,-2.62378
-1.78866,-3.08866,-1.8812,-8.0512,1.15638,-2.4359
-1.7782,-3.0982000000000003,-2.0984,-8.2984,1.13026,-2.51892
-1.6081800000000002,-2.9181800000000004,-2.0692000000000004,-8.269200000000001,1.1187,-2.5012600000000003
-1.8002799999999999,-3.1102800000000004,-2.0692,-8.2192,1.1092,-2.5857
-1.7994799999999997,-3.0994800000000002,-2.1076,-8.3076,1.1149600000000002,-2.7291
-1.59444,-2.86444,-2.1068000000000002,-8.296800000000001,1.04966,-2.76318
-1.64276,-2.93276,-2.1068000000000002,-8.3468,1.07542,-2.7699800000000003
-1.8635200000000003,-3.07352,-2.2672,-8.6872,1.1144600000000002,-2.7984999999999998
-1.8638599999999999,-3.0838599999999996,-2.2746,-8.694600000000001,1.0747,-2.7995000000000005
-2.0563200000000004,-3.28632,-2.0909999999999997,-8.561,1.1203400000000001,-2.7022199999999996
-2.0778,-3.2878000000000003,-1.8672000000000002,-8.3572,1.13746,-2.659420000000001
-2.2975,-3.4875,-1.6676000000000002,-7.997600000000001,1.1663400000000002,-2.52558
-2.2851999999999997,-3.4652,-1.8452000000000002,-8.465200000000001,1.1900600000000001,-2.47386
-2.30492,-3.45492,-1.6774,-8.3274,1.1842800000000002,-2.47302
-2.533,-3.713,-1.7074,-8.3574,1.18628,-2.6718599999999997
-2.51298,-3.7129799999999995,-1.9224,-8.5624,1.12922,-2.6232800000000003
-2.51298,-3.7129800000000004,-2.1066000000000003,-8.7866,1.08618,-2.6553999999999998
-2.4247400000000003,-3.61474,-2.1066,-8.8566,1.09444,-2.7256
-2.5969800000000003,-3.75698,-2.1068000000000002,-8.8968,1.05928,-2.90344
